Number,jd,gaia_mag,a_orb,e_orb,i_orb,Delta,R,Phase,H,G,gaia_mag_red,V
1437,2457077.9067766774,15.920931074407749,5.2158365751062234,0.045640794418770766,20.47192301727763,5.374304810881998,5.23930962854707,10.7071,8.26,0.15,8.672949278490123,8.873075965990122
1437,2457260.6617194545,16.245724729552748,5.2158365751062234,0.045640794418770766,20.47192301727763,5.404609802056,5.4371035787435975,10.7937,8.26,0.15,8.905064974056035,9.105191661556038
1437,2457125.7165839844,16.581611475362827,5.2158365751062234,0.045640794418770766,20.47192301727763,5.383509118651,4.62217094505227,7.6676,8.26,0.15,9.60205419403265,9.802180881532653
1437,2457861.529897897,15.92962869752726,5.2158365751062234,0.045640794418770766,20.47192301727763,5.403055612805001,5.396667099671509,10.7753,8.26,0.15,8.605803364692955,8.805930052192958
1437,2457125.892862053,15.764009355996668,5.2158365751062234,0.045640794418770766,20.47192301727763,5.383541438401999,4.62052468987149,7.6477,8.26,0.15,8.785212578405888,8.985339265905887
1437,2457126.216996057,15.733787141818233,5.2158365751062234,0.045640794418770766,20.47192301727763,5.3836008354330005,4.61751486058113,7.6111,8.26,0.15,8.756381373538943,8.956508061038944
1437,2457837.2836910407,16.066486326539618,5.2158365751062234,0.045640794418770766,20.47192301727763,5.406154077124,5.76724391058622,9.651,8.26,0.15,8.59720263540826,8.797329322908261
1437,2457890.0935672284,15.600155242582336,5.2158365751062234,0.045640794418770766,20.47192301727763,5.399096832435,4.949764298104959,10.1885,8.26,0.15,8.465627065473171,8.665753752973172
1437,2457303.45298878,16.082699690381812,5.2158365751062234,0.045640794418770766,20.47192301727763,5.409728049895,6.01305507155283,8.1287,8.26,0.15,8.521346616152561,8.721473303652562
1437,2456896.721703537,15.712810371443155,5.2158365751062234,0.045640794418770766,20.47192301727763,5.332027578392999,5.847525746009589,9.044,8.26,0.15,8.243487723202815,8.443614410702816
1437,2457510.4300995297,16.076249550286704,5.2158365751062234,0.045640794418770766,20.47192301727763,5.423291217793,4.77608901754058,8.8576,8.26,0.15,9.009572858846326,9.209699546346329
1437,2457510.2539931824,16.265985402042368,5.2158365751062234,0.045640794418770766,20.47192301727763,5.423287733504,4.77824800395041,8.8749,8.26,0.15,9.198328733685242,9.398455421185245
1437,2457042.184221031,16.407825145684185,5.2158365751062234,0.045640794418770766,20.47192301727763,5.366870537658,5.751198173190019,9.4675,8.26,0.15,8.960427886692212,9.160554574192213
1437,2457303.62933118,16.274922472719723,5.2158365751062234,0.045640794418770766,20.47192301727763,5.409747537783001,6.015024189898349,8.112,8.26,0.15,8.712850591998516,8.912977279498515
1437,2457890.2697236505,15.720505597307039,5.2158365751062234,0.045640794418770766,20.47192301727763,5.399071390806,4.947148484538482,10.1776,8.26,0.15,8.587135519096233,8.787262206596234
1437,2457206.495269733,16.130537378633875,5.2158365751062234,0.045640794418770766,20.47192301727763,5.397031116075,4.69565613609438,8.5491,8.26,0.15,9.111281339222069,9.31140802672207
1437,2457308.882834945,16.699396760855215,5.2158365751062234,0.045640794418770766,20.47192301727763,5.410322045040001,6.0715992108299295,7.6014,8.26,0.15,9.116765697103217,9.316892384603216
1437,2457117.6376482192,16.39737117207261,5.2158365751062234,0.045640794418770766,20.47192301727763,5.382014997643,4.70437062533661,8.5336,8.26,0.15,9.380139006243496,9.580265693743495
1437,2457303.3791432893,16.1314894387427,5.2158365751062234,0.045640794418770766,20.47192301727763,5.409719885181,6.0122291629895,8.1357,8.26,0.15,8.570437919643206,8.770564607143209
1437,2457309.13306854,15.766132709582234,5.2158365751062234,0.045640794418770766,20.47192301727763,5.41034911679,6.074190493458557,7.5764,8.26,0.15,8.182564220846102,8.382690908346104
1437,2457303.20268555,16.23330783328035,5.2158365751062234,0.045640794418770766,20.47192301727763,5.409700365776,6.01025246996842,8.1523,8.26,0.15,8.67297820063601,8.87310488813601
1437,2457117.71165802,15.776757043110836,5.2158365751062234,0.045640794418770766,20.47192301727763,5.382028799273,4.703560630233572,8.5262,8.26,0.15,8.759893223495517,8.960019910995518
1437,2457027.6792925242,16.512947057104704,5.2158365751062234,0.045640794418770766,20.47192301727763,5.363719968342,5.928660751612848,8.3138,8.26,0.15,9.00083357770557,9.200960265205573
1437,2457206.4212594186,16.10210442831203,5.2158365751062234,0.045640794418770766,20.47192301727763,5.397019931639,4.69486729598473,8.5415,8.26,0.15,9.083217712995292,9.283344400495293
1437,2457694.508797036,15.989854542730516,5.2158365751062234,0.045640794418770766,20.47192301727763,5.419385854997,5.9738428878495,8.415,8.26,0.15,8.438835193105637,8.638961880605638
1437,2457694.4347902127,16.204968669716244,5.2158365751062234,0.045640794418770766,20.47192301727763,5.4193904396270005,5.9729366700009,8.4219,8.26,0.15,8.654276915315316,8.854403602815314
1437,2457027.753243996,16.19432487478542,5.2158365751062234,0.045640794418770766,20.47192301727763,5.363736221336,5.927825037063509,8.3204,8.26,0.15,8.682510931644796,8.882637619144797
1437,2457309.457260868,16.382449061250973,5.2158365751062234,0.045640794418770766,20.47192301727763,5.410384150182001,6.077533297896,7.544,8.26,0.15,8.797671815740802,8.997798503240801
1437,2457206.2450921303,16.770578336117772,5.2158365751062234,0.045640794418770766,20.47192301727763,5.396993300215,4.69299358354982,8.5234,8.26,0.15,9.752569139298977,9.952695826798976
1437,2457260.735725374,16.612355915816266,5.2158365751062234,0.045640794418770766,20.47192301727763,5.404619320389,5.43820424986821,10.7921,8.26,0.15,9.271252794085758,9.47137948158576
1872,2457748.111921271,18.63099345345913,5.322601929471147,0.04967752656739316,14.640548124285841,5.567118655016,4.8860659383102,7.9647,10.78,0.15,11.4580444468804,11.6581711343804
1872,2456913.675511458,18.87357029698236,5.322601929471147,0.04967752656739316,14.640548124285841,5.464356657109,5.42334673309651,10.6993,10.78,0.15,11.514538251291668,11.714664938791671
1872,2457855.969808084,18.475857507412595,5.322601929471147,0.04967752656739316,14.640548124285841,5.557792160528001,5.122801472519031,9.8214,10.78,0.15,11.20380836974284,11.403935057242839
1872,2457753.791504241,18.31767923044589,5.322601929471147,0.04967752656739316,14.640548124285841,5.566759388708,4.82035617383121,7.2657,10.78,0.15,11.174271332954008,11.374398020454011
1872,2457672.661730828,18.8877610692908,5.322601929471147,0.04967752656739316,14.640548124285841,5.570487561124001,6.00944853671474,8.9911,10.78,0.15,11.264121923608565,11.464248611108566
1872,2457480.611398849,18.606878902045565,5.322601929471147,0.04967752656739316,14.640548124285841,5.567198870652,5.438574822838861,10.4318,10.78,0.15,11.201269685872154,11.401396373372155
1872,2457855.8957986985,18.762894528448733,5.322601929471147,0.04967752656739316,14.640548124285841,5.557800354797,5.121732170672209,9.8166,10.78,0.15,11.491295496228766,11.691422183728767
1872,2457753.865569366,18.356551674121963,5.322601929471147,0.04967752656739316,14.640548124285841,5.566754606118,4.81954330382451,7.2561,10.78,0.15,11.21351185449846,11.413638541998461
1872,2457888.953428086,18.322439645002728,5.322601929471147,0.04967752656739316,14.640548124285841,5.553899496139,5.62544995117599,10.4584,10.78,0.15,10.848663236819604,11.048789924319603
1872,2457672.587774244,18.450517126074377,5.322601929471147,0.04967752656739316,14.640548124285841,5.570489578840001,6.0104621782977485,8.9857,10.78,0.15,10.826510952406464,11.026637639906461
1872,2457454.2928430545,18.72331164116985,5.322601929471147,0.04967752656739316,14.640548124285841,5.565424213626,5.0442008157492415,9.2534,10.78,0.15,11.481858435075743,11.681985122575743
1872,2457298.290552515,18.825882547632254,5.322601929471147,0.04967752656739316,14.640548124285841,5.548505824806,5.68440960088932,10.2267,10.78,0.15,11.33157549470206,11.53170218220206
1872,2457753.365231453,18.634634394478915,5.322601929471147,0.04967752656739316,14.640548124285841,5.566786865508,4.82505741805169,7.3209,10.78,0.15,11.489098996081582,11.689225683581586
1872,2457754.0417327816,18.690381516538952,5.322601929471147,0.04967752656739316,14.640548124285841,5.566743220671,4.8176146467172405,7.2331,10.78,0.15,11.548215279389956,11.748341966889956
