Name,Number,jd,umag,umag_err,gmag,gmag_err,rmag,rmag_err,imag,imag_err,zmag,zmag_err,Vmag,a_orb,e_orb,i_orb,Delta,R,Phase,H,G,umag_red,gmag_red,rmag_red,imag_red,zmag_red,V
1988_RS10,5257,2452231.72683,21.09,0.1,19.9,0.03,19.27,0.02,19.01,0.02,18.89,0.04,19.53,5.159652940135008,0.03167438668422444,2.870469674300919,4.621,5.354,7.64,12.0,0.15,14.122928323151903,12.932928323151904,12.302928323151903,12.042928323151909,11.922928323151902,12.578028323151903
1988_RS10,5257,2452225.69211,21.21,0.13,19.86,0.04,19.2,0.02,18.96,0.04,18.71,0.06,19.47,5.159652940135008,0.03167438668422444,2.870469674300919,4.553999999999999,5.354,6.77,12.0,0.15,14.274643034349813,12.924643034349813,12.264643034349813,12.024643034349813,11.774643034349813,12.552843034349813
1988_RS10,5257,2453766.87243,20.9,0.07,19.49,0.03,18.82,0.03,18.58,0.02,18.47,0.03,19.09,5.159652940135008,0.03167438668422444,2.870469674300919,4.163,5.13,2.32,12.0,0.15,14.252381120007026,12.842381120007026,12.172381120007033,11.932381120007026,11.822381120007027,12.464947786673696
Epeigeus,5259,2452756.64536,19.36,0.04,17.92,0.02,17.3,0.01,17.0,0.02,16.86,0.02,17.55,5.211715864402616,0.07165579393619909,15.910140537139279,4.167,5.052,6.0,10.3,0.15,12.743565788297145,11.303565788297146,10.683565788297145,10.383565788297144,10.243565788297143,10.95429912163048
Telephus,5264,2453148.91343,19.07,0.03,17.64,0.01,17.0,0.01,16.74,0.01,16.6,0.02,17.26,5.209744391833615,0.1124607625643148,33.57468982331771,4.577,5.434,6.19,9.5,0.15,12.091497267454141,10.66149726745414,10.02149726745414,9.761497267454141,9.621497267454142,10.300963934120807
Telephus,5264,2453168.7708400004,19.18,0.03,17.75,0.02,17.15,0.01,16.89,0.01,16.7,0.01,17.4,5.209744391833615,0.1124607625643148,33.57468982331771,4.619,5.449,6.7,9.5,0.15,12.175676149246724,10.745676149246723,10.145676149246725,9.885676149246725,9.695676149246722,10.407676149246726
Orsilocus,5284,2452754.83414,19.41,0.03,17.97,0.02,17.38,0.02,17.12,0.02,16.97,0.02,17.62,5.225942394972862,0.08477428726742918,20.2240805716102,4.487,5.415,4.51,9.9,0.15,12.48222734752793,11.04222734752793,10.452227347527927,10.192227347527933,10.042227347527927,10.709860680861263
Deikoon,5638,2452282.6258,20.47,0.06,19.11,0.02,18.55,0.02,18.32,0.02,18.22,0.03,18.78,5.2366157275736,0.1063896520557338,10.91517596992865,5.563,5.726,9.86,10.0,0.15,12.954197981867962,11.594197981867962,11.034197981867962,10.804197981867961,10.70419798186796,11.278731315201295
Deikoon,5638,2452234.73859,20.09,0.05,18.7,0.03,18.1,0.02,17.91,0.01,17.75,0.03,18.34,5.2366157275736,0.1063896520557338,10.91517596992865,4.885,5.704,6.01,10.0,0.15,12.864779575506995,11.474779575506993,10.874779575506997,10.684779575506994,10.524779575506995,11.136779575506997
Deikoon,5638,2452225.74969,19.93,0.05,18.49,0.02,17.93,0.02,17.73,0.02,17.57,0.02,18.16,5.2366157275736,0.1063896520557338,10.91517596992865,4.805,5.699,4.66,10.0,0.15,12.742539755108027,11.302539755108025,10.742539755108027,10.542539755108027,10.382539755108027,10.98707308844136
